Company Name,City,State,Website,Description,Rating
Longhorn Solar,Austin,Texas,https://longhornsolar.com,Residential and commercial solar,4.9/5.0
Texas Solar Professional LLC,Cedar Hill,Texas,https://texassolarprofessional.com,Residential solar installation & financing,4.9/5.0
Lone Star Solar,Dallas,Texas,https://lonestarsolar.com,Premium solar installations,4.9/5.0
NRG Clean Power,Houston,Texas,https://nrgcleanpower.com,Solar panel installations & service,
"Solar SME, Inc.",Grand Prairie,Texas,https://solarsme.com,Commercial & residential solar installs,
"IntegrateSun, LLC",Dallas,Texas,https://integratesun.com,Solar PV & energy storage systems,4.8/5.0
Demand Construction,Dallas,Texas,https://demandconstruction.com,Green energy construction & installs,
Alamo Solar,San Antonio,Texas,https://alamosolar.com,Military veteran-owned solar installer,4.8/5.0
Texas Solar Group,Fort Worth,Texas,https://texassolargroup.com,Custom solar solutions since 2010,4.7/5.0
Freedom Solar,Austin,Texas,https://freedomsolarpower.com,SunPower-certified installations,4.9/5.0

