Company Name,City,State,Website,Description,Rating
Solar Optimum,Lakeland,Florida,https://solaroptimum.com,Full-service solar installation & maintenance,4.8/5.0
"Public Service Solar, LLC",Tallahassee,Florida,https://publicservicesolar.com,Residential & commercial solar installation,4.8/5.0
"IntegrateSun, LLC",Orlando,Florida,https://integratesun.com,Solar panel & battery storage installations,4.8/5.0
Sunshine State Solar,Sarasota,Florida,https://sunshinestatesolar.com,Residential solar panel systems,4.9/5.0
Florida Power Management,Orlando,Florida,https://fpmsolar.com,Solar energy system design & maintenance,
SunPower by Solar Source,Daytona Beach,Florida,https://www.solar-source.com,Premium solar panel installations,4.7/5.0
Demand Construction,Fort Myers,Florida,https://demandconstruction.com,Green energy construction (solar & roofing),5.0/5.0
Solar Bear,Tampa,Florida,https://solarbear.com,Locally owned solar contractor,4.8/5.0
Solar-Ray,Miami,Florida,https://solar-ray.com,Solar for South Florida homes,4.7/5.0
SunVault Solar,Jacksonville,Florida,https://sunvaultsolar.com,Battery storage specialists,4.9/5.0
